Page,Encrypt,ObjStm,JS,JavaScript,AA,OpenAction,AcroForm,JBIG2Decode,RichMedia,Launch,EmbeddedFile,XFA,Colors_gt_224,obj,endobj,stream,endstream,xref,trailer,startxref,filepath,filename,filesize_kb,label
1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,3,3,2,2,2,/home/remnux/Desktop/extraction/data/Benign/assehc.pdf,assehc.pdf,23.1201171875,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,1,1,1,/home/remnux/Desktop/extraction/data/Benign/artauthor.pdf,artauthor.pdf,69.544921875,benign
4,0,6,0,0,0,0,0,0,0,0,0,0,0,56,56,41,41,0,0,3,/home/remnux/Desktop/extraction/data/Benign/p4894_ru.pdf,p4894_ru.pdf,180.7861328125,benign
1,0,0,0,0,0,0,1,0,0,0,0,0,0,29,29,17,17,2,2,2,/home/remnux/Desktop/extraction/data/Benign/artisticwall.pdf,artisticwall.pdf,85.1240234375,benign
6,0,25,0,0,0,0,2,0,0,0,0,0,0,156,156,146,146,0,0,4,/home/remnux/Desktop/extraction/data/Benign/f990sn.pdf,f990sn.pdf,126.099609375,benign
2,0,10,0,0,0,0,2,0,0,0,8,0,0,104,104,98,98,0,0,3,/home/remnux/Desktop/extraction/data/Benign/f14157a.pdf,f14157a.pdf,65.1376953125,benign
2,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,8,8,2,2,2,/home/remnux/Desktop/extraction/data/Benign/n-04-42.pdf,n-04-42.pdf,55.119140625,benign
6,0,33,0,0,0,0,2,0,0,0,0,0,0,224,224,214,214,0,0,4,/home/remnux/Desktop/extraction/data/Benign/f2290fr_10.pdf,f2290fr_10.pdf,234.38671875,benign
1,0,1,0,0,0,0,0,0,0,0,0,0,0,24,24,7,7,2,2,2,/home/remnux/Desktop/extraction/data/Benign/20110128-RE-Barham.pdf,20110128-RE-Barham.pdf,78.7451171875,benign
8,0,0,0,0,0,1,0,0,0,0,0,0,0,41,41,10,10,2,2,2,/home/remnux/Desktop/extraction/data/Benign/043.pdf,043.pdf,25.033203125,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,1,1,1,/home/remnux/Desktop/extraction/data/Benign/allampub.pdf,allampub.pdf,75.359375,benign
