Page,Encrypt,ObjStm,JS,JavaScript,AA,OpenAction,AcroForm,JBIG2Decode,RichMedia,Launch,EmbeddedFile,XFA,Colors_gt_224,obj,stream,xref,trailer,startxref,filesize_kb
20,0,0,1,1,0,1,0,0,0,0,0,0,0,24,1,1,1,1,5.30859375
2,0,0,2,3,0,1,1,0,0,0,0,0,0,18,3,1,1,1,6.701171875
1,0,0,1,2,0,0,0,0,0,0,0,0,0,9,2,0,1,0,1.94921875
1,0,0,3,4,0,0,0,0,0,0,0,0,0,12,5,1,1,1,31.1357421875
4,0,0,0,0,0,0,1,0,0,0,0,0,0,279,18,31,31,31,169.1279296875
1,0,0,1,1,0,1,0,0,0,0,0,0,0,4,1,1,1,1,3.4580078125
0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,1,166.1123046875
1,0,0,0,1,0,1,0,0,0,0,0,0,0,8,2,1,1,1,12.5205078125
1,0,0,3,4,0,0,1,0,0,0,0,0,0,21,6,1,1,1,81.30078125
1,0,2,0,0,0,0,1,0,0,0,0,0,0,62,54,33,38,39,128.2939453125
1,0,0,2,3,0,1,1,0,0,0,0,0,0,15,2,1,1,1,9.8603515625
1,0,0,2,3,0,1,1,0,0,0,0,0,0,15,2,1,1,1,9.8876953125
2,0,0,0,0,0,0,0,0,0,0,0,0,0,55,10,2,2,2,47.3916015625
1,0,0,0,1,0,1,0,0,0,0,0,0,0,10,3,1,1,1,40.17578125
1,0,0,0,1,0,1,0,0,0,0,0,0,0,8,2,1,1,1,13.05859375
1,0,0,2,3,0,1,1,0,0,0,0,0,0,15,2,1,1,1,7.0927734375
1,0,0,3,4,0,0,0,0,0,0,0,0,0,13,5,1,1,1,4.478515625
1,0,0,3,4,0,0,0,0,0,0,0,0,0,12,5,1,1,1,31.6494140625
1,0,0,1,2,0,0,0,0,0,0,0,0,0,9,3,1,1,1,3.486328125
1,0,0,0,1,0,1,0,0,0,0,0,0,0,8,2,1,1,1,12.748046875
1,0,0,1,2,0,0,0,0,0,0,0,0,0,7,1,0,1,1,5.171875
1,0,0,2,3,0,1,1,0,0,0,0,0,0,15,2,1,1,1,6.392578125
1,0,0,1,1,0,1,0,0,0,0,0,0,0,4,1,0,1,0,3.0224609375
3,0,0,0,0,0,1,0,0,0,0,0,0,0,71,4,1,1,1,31.9501953125
1,0,1,0,0,0,0,0,0,0,0,0,0,0,18,7,2,2,2,185.8154296875
1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,3,1,1,1,32.8720703125
1,0,0,0,0,0,1,0,0,0,0,0,0,0,13,3,1,1,1,34.951171875
0,0,0,1,2,0,0,0,0,0,0,0,0,0,9,2,0,1,1,15.05078125
6,0,0,1,2,0,1,0,0,0,0,0,0,0,22,7,1,1,1,13.478515625
1,0,0,0,1,0,1,0,0,0,0,0,0,0,8,2,1,1,1,12.4423828125
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,1,14.75
1,0,0,1,2,0,0,0,0,0,0,0,0,0,7,1,0,1,1,3.8447265625
4,0,0,0,0,0,1,0,0,0,0,0,0,0,71,5,1,1,1,33.849609375
1,0,0,1,2,0,0,1,0,0,0,0,0,0,15,2,1,1,1,10.6865234375
1,0,0,1,2,0,0,0,0,0,0,0,0,0,7,1,0,1,1,5.201171875
0,0,0,1,2,0,0,0,0,0,0,0,0,0,9,2,0,1,1,14.9658203125
1,0,1,0,0,0,0,0,0,0,0,0,0,0,33,12,2,2,2,194.3291015625
6,0,0,1,2,0,1,0,0,0,0,0,0,0,22,7,1,1,1,12.58203125
32,0,0,0,0,0,0,0,0,0,0,0,0,0,127,54,0,0,0,550.7822265625
1,0,0,1,1,0,1,0,0,0,0,1,0,0,9,2,1,1,1,30.8515625
4,0,0,2,3,0,1,0,0,0,0,0,0,0,23,7,1,1,1,29.3837890625
1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,1,1,1,717.1220703125
1,0,0,0,1,0,1,0,0,0,0,0,0,0,8,2,1,1,1,12.935546875
4,0,0,1,1,0,1,0,0,0,0,0,0,0,82,33,2,2,2,62.8193359375
1,0,0,1,1,0,1,0,0,0,0,0,0,0,6,2,1,1,1,14.0048828125
1,0,1,0,0,0,0,0,0,0,0,0,0,0,20,8,2,2,2,182.5712890625
1,0,0,2,3,0,1,1,0,0,0,0,0,0,15,2,1,1,1,6.3916015625
1,0,0,1,1,0,1,1,0,0,0,0,0,0,19,7,2,2,2,40.0703125
1,0,0,1,2,0,0,0,0,0,0,0,0,0,9,3,1,1,1,3.9033203125
1,0,0,1,1,0,1,0,0,0,0,0,0,0,4,1,0,1,0,3.0185546875
4,0,0,1,2,0,1,1,0,0,0,0,1,0,30,11,0,1,1,588.587890625
1,0,0,3,4,0,0,0,0,0,0,0,0,0,13,5,1,1,1,4.5244140625
0,0,0,1,2,0,0,0,0,0,0,0,0,0,9,2,0,1,1,15.1455078125
1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,5,0,0,1,158.4189453125
1,0,0,0,1,0,1,0,0,0,0,0,0,0,8,2,1,1,1,12.4150390625
1,0,0,1,2,0,0,0,0,0,0,0,0,0,9,3,1,1,1,3.5703125
