Page,Encrypt,ObjStm,JS,JavaScript,AA,OpenAction,AcroForm,JBIG2Decode,RichMedia,Launch,EmbeddedFile,XFA,Colors_gt_224,obj,stream,xref,trailer,startxref,filesize_kb,label_numeric,label,dummy_0,dummy_1,dummy_2
2,0,6,1,1,1,1,1,0,0,0,0,0,0,85,31,3,-1,3,169.02266535875376,1,malicious,-2.1260950529053306,0.328308175839659,1.2236210175875735
1,0,1,1,1,0,1,1,0,0,0,0,0,0,38,17,2,2,2,149.03066333857592,1,malicious,-1.778097649995571,-0.4806284375294249,0.7472726171270277
2,0,0,1,1,1,1,0,0,0,1,0,0,0,89,35,4,3,3,718.9197549539493,1,malicious,-0.16854729531171597,0.5824325161504834,-0.934786925667587
1,0,1,0,0,0,1,0,0,0,0,0,0,0,22,4,1,1,1,12.589192884392748,1,malicious,1.3442789679713896,0.5470726931172972,-1.6999760723725432
1,1,5,0,0,0,0,1,0,0,0,0,0,0,25,36,0,-1,2,100.81943817749186,1,malicious,0.730017066254879,-0.43353122245407827,0.06080804899781401
1,0,5,0,0,0,0,1,0,0,0,0,0,0,44,21,0,0,2,23.233398204460887,1,malicious,-0.15321079690390557,0.7255310216178227,-0.8701473849823755
10,1,0,1,1,0,1,1,0,1,0,1,1,0,120,34,1,1,2,284.71816898038486,1,malicious,0.788640395645131,0.8473524660845844,-1.122303146840486
5,0,0,1,1,0,1,0,0,0,0,0,0,0,32,7,1,1,1,50.05885439171594,1,malicious,0.804571014041508,-0.9779011775544405,-0.2203004988219228
1,0,0,0,0,0,1,0,0,0,0,1,0,0,15,2,2,1,1,9.496309676869537,1,malicious,-0.09596902796348056,0.24843727957873382,1.2312502268575405
1,0,0,1,1,0,1,0,0,0,0,0,0,0,6,2,1,1,1,2.601295265736445,1,malicious,-1.3001135017463283,-0.04655915105670077,0.8433525478071862
1,0,0,1,1,0,1,0,0,0,0,0,0,0,7,0,1,1,1,0.0,1,malicious,1.7305498145153244,0.019304857061356113,0.7813198523429971
9,0,2,1,1,1,1,0,0,0,0,0,0,0,86,43,10,9,5,731.5524939704447,1,malicious,0.573394331588772,0.37154253107903706,-0.6775345514809028
0,1,6,0,0,0,0,1,0,0,0,1,1,0,19,27,0,-1,1,36.60633704072015,1,malicious,0.12151357154667146,0.12997757556638243,-1.7150211310533219
1,0,0,0,0,0,1,0,0,0,0,1,0,0,62,5,1,1,1,491.2109375,1,malicious,0.04544004475970455,-0.46675554975044264,-0.7911250624558808
1,0,0,1,1,0,1,0,0,0,0,0,0,0,10,6,-1,1,0,0.0,1,malicious,1.2832484896820435,-0.9234926727109971,-0.0475014600464399
1,0,0,1,1,0,1,0,0,0,0,0,0,0,6,2,0,1,0,9.157975624034933,1,malicious,1.1051217199971652,-0.9957098080533059,0.9386265818265996
1,0,0,1,1,0,1,0,0,0,0,0,0,0,26,4,1,1,1,140.77713254382175,1,malicious,-2.3334180693210946,2.197427981855505,0.27231280962916066
2,0,0,1,1,0,1,0,0,0,0,0,0,0,13,4,1,1,1,0.0,1,malicious,-2.1158661029242554,0.7745545673677177,-0.6963212743072192
12,0,0,1,1,0,1,0,0,0,0,0,0,0,21,12,1,1,1,9.003745943823585,1,malicious,0.784361608973585,0.6067531525413575,-0.6175946621903698
1,0,1,0,0,0,0,0,0,0,0,0,0,0,92,6,2,2,1,75.4764180831972,1,malicious,0.6061920279672468,-0.6479092921333469,0.8088652020949093
1,0,0,1,1,0,1,0,0,0,0,0,0,0,20,15,2,1,2,216.20991930235533,1,malicious,-1.3285717833935864,0.17547609011781787,0.8650359778278779
0,0,6,0,0,0,0,1,0,0,0,0,0,0,105,28,0,0,23,164.4268073186655,1,malicious,-0.4524485567239248,1.3210760314657375,0.9246842835458052
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,1,1,2,81.84770341387014,1,malicious,0.7351934946400526,0.5771536105893064,0.8975361294729085
0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,5,2,1,1,12.157964262561926,1,malicious,-0.32525258585385397,-0.9851967595255257,-1.546482437944331
1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,1,1,1,18.808001314774444,1,malicious,1.1245083582159532,-0.5415083713941375,-0.4338173272160986
