Page,Encrypt,ObjStm,JS,JavaScript,AA,OpenAction,AcroForm,JBIG2Decode,RichMedia,Launch,EmbeddedFile,XFA,obj,stream,xref,trailer,startxref,filesize_kb,Colors_gt_224
2,0,0,19,0,0,0,1,0,0,0,0,0,25,12,0,1,1,101.38677593852154,0
2,0,1,0,0,0,2,0,0,0,0,0,0,73,5,2,2,2,291.47714324884964,0
2,0,0,0,1,0,1,0,0,0,0,0,0,7,4,1,1,1,4.367284370083077,0
0,0,0,1,1,0,0,1,0,0,0,0,0,10,2,1,1,1,5.387256497568824,0
3,0,0,1,1,0,1,0,0,0,0,0,0,4,0,1,1,1,23.52606715241767,0
1,0,7,0,0,0,0,0,0,0,0,0,0,2,3,0,7,1,230.4941213509035,0
0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,0,0,2,46.45170338117556,0
0,0,0,0,3,0,1,0,0,0,0,0,0,38,0,1,1,1,10.641988657027914,0
2,0,2,4,6,0,0,1,0,0,0,0,0,78,24,0,0,1,260.2998446323519,0
3,1,0,4,5,0,1,1,0,1,0,9,1,82,39,1,1,2,2218.3706592235812,0
0,0,0,1,1,0,1,1,0,0,0,0,0,10,3,1,1,1,251.2436877998641,0
2,0,2,0,0,0,0,1,0,0,0,0,0,68,20,0,0,1,800.9848315097029,0
2,0,6,1,1,1,1,1,0,0,0,0,0,87,125,4,0,1,84.81667251317886,0
3,0,0,0,1,1,4,5,0,0,1,0,0,630,84,3,3,4,74.43261621605329,0
1,0,10,0,0,0,0,0,0,0,0,0,0,50,4,10,2,1,284.0918601844459,0
0,0,0,1,3,0,1,1,0,0,0,0,0,53,0,0,1,1,7.745148127267692,0
4,1,0,4,5,0,0,1,0,1,0,9,1,658,34,1,1,2,764.6305911039581,0
7,0,0,1,1,1,1,0,0,0,1,0,0,114,159,3,3,4,2860.363490566679,0
4,0,1,1,1,1,1,0,0,0,1,0,0,72,210,3,3,3,2070.9179675310615,0
7,1,0,0,5,0,0,1,0,1,0,9,1,79,30,1,1,2,555.7438132903151,0
4,0,2,0,6,0,1,0,0,0,0,0,0,164,43,1,7,20,237.48552157752434,0
