Page,Encrypt,ObjStm,JS,JavaScript,AA,OpenAction,AcroForm,JBIG2Decode,RichMedia,Launch,EmbeddedFile,XFA,Colors_gt_224,obj,stream,xref,trailer,startxref,filesize_kb
1,0,0,0,6,0,1,0,0,0,0,0,1,0,47,5,1,1,2,5.423984032654955
1,0,1,1,1,1,1,0,0,0,0,0,0,0,15,5,7,0,0,273.18959148685843
0,0,0,1,2,0,0,0,0,0,0,0,0,0,70,2,2,1,7,38.40118356366717
1,0,0,1,3,0,1,0,0,0,0,0,0,0,32,8,0,1,1,36.52363270749275
4,0,0,3,1,0,0,1,0,0,0,1,0,0,24,5,1,1,1,40.51117412033068
1,0,0,0,0,0,0,0,0,0,0,1,0,0,93,6,2,2,2,58.91407728308327
3,0,0,0,4,0,1,0,0,0,0,0,0,0,24,8,1,1,1,58.10255237896645
8,0,0,1,2,1,1,0,0,0,0,0,0,0,41,4,3,1,1,88.27363352359562
5,0,0,1,4,1,0,0,0,0,0,0,0,0,113,10,3,0,15,16.441499911607988
6,0,0,0,0,10,0,0,0,0,0,0,0,0,263,103,7,0,33,528.8990581426889
3,0,0,4,2,0,0,1,0,0,0,0,1,0,106,5,1,1,1,767.1522235350725
0,0,0,0,4,0,0,0,0,0,0,0,0,0,29,3,0,1,1,61.52502562694586
6,0,1,0,1,0,0,0,0,0,0,0,0,0,366,52,3,38,10,2520.2725277838067
6,0,0,1,2,0,1,0,0,0,0,0,0,0,46,1,1,1,1,56.1498355969358
2,0,0,2,0,0,1,1,0,0,0,0,0,0,18,4,1,1,1,55.41371140465738
6,0,0,1,3,0,1,0,0,0,0,0,0,0,10,7,3,1,1,49.83844809091773
7,0,0,1,1,0,1,1,0,0,0,0,0,0,4,7,1,1,1,14.091827451093447
2,0,3,0,0,0,0,0,0,0,0,0,0,0,401,86,9,2,12,207.9332250535448
6,0,0,0,0,0,1,0,0,0,0,0,0,0,14,3,0,1,1,25.50703471239167
22,0,7,0,0,0,0,0,0,0,0,0,0,0,553,30,3,2,2,377.9215354582651
6,0,0,1,2,0,1,0,0,0,0,0,0,0,13,10,1,1,1,9.431724849224839
4,0,0,5,0,0,0,0,0,0,0,0,0,0,264,33,2,5,39,2156.201771711211
3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,39,0,18,2,14.44179250113655
0,0,0,1,0,0,1,1,0,0,0,0,0,0,56,41,0,0,1,40.47419703330483
3,0,0,1,2,0,0,0,0,0,0,0,0,0,31,1,0,1,1,23.46042575900516
13,1,0,0,1,0,0,1,0,0,0,1,1,0,118,40,1,1,2,71.01967372253665
1,0,0,1,3,0,2,1,0,0,0,0,0,0,17,10,1,1,1,8.62147466991243
3,0,0,5,4,0,0,0,0,0,0,0,1,0,6,28,2,0,2,318.49630324784766
28,1,0,4,5,0,0,1,0,1,0,9,1,0,101,19,1,1,2,621.6576519297294
8,0,0,2,3,0,0,1,0,0,0,0,0,0,69,4,1,1,1,46.295488982371836
2,0,0,1,1,0,0,0,0,0,0,0,0,0,51,1,1,1,1,18.989238295113402
1,0,0,1,3,0,0,0,0,0,0,0,0,0,5,2,1,1,1,17.077080576083322
1,0,0,0,4,0,0,0,0,0,0,0,0,0,30,6,0,0,1,123.6315643646128
0,0,0,1,1,0,0,1,0,0,0,1,0,0,105,13,1,0,2,272.6354261612803
114,0,2,0,0,0,0,0,0,0,0,0,0,0,29,100,3,15,3,385.7558092575605
0,0,8,1,13,1,0,0,0,0,0,0,0,0,153,20,33,2,0,2126.113708773574
1,0,0,1,0,0,1,0,0,0,0,0,0,0,71,10,1,1,1,21.674895026488546
1,0,0,3,3,0,0,1,0,0,0,0,0,0,63,9,0,1,1,94.60961523764682
4,0,0,0,1,0,0,0,0,0,0,0,0,0,53,1,2,0,1,29.715753481555257
26,0,1,5,0,0,0,0,0,0,0,0,0,0,100,19,2,2,5,3535.869288166526
0,0,6,1,1,1,0,1,0,0,0,1,0,0,732,49,3,0,6,344.97528106931486
7,0,0,0,1,0,0,0,0,0,0,0,0,0,30,2,0,22,2,34.52170574139935
8,0,0,2,4,0,1,1,0,0,0,0,0,0,35,0,1,1,1,57.18366305418678
0,0,0,2,1,0,2,0,0,0,0,0,0,0,45,4,1,1,1,40.64482961877299
0,0,0,4,1,0,0,2,0,0,0,0,0,0,39,2,4,1,2,245.14588523911624
23,1,0,4,5,0,0,1,0,1,0,9,1,0,93,30,18,1,2,1064.5131356517854
1,0,0,2,2,0,1,0,0,0,0,0,0,0,57,2,1,1,1,40.5257115139859
39,1,0,4,5,0,1,1,0,1,0,9,1,0,85,9,1,1,1,653.3744031217798
1,0,1,0,0,1,0,0,0,0,0,0,0,0,322,124,0,0,0,349.88447847216764
4,0,0,1,2,0,0,1,0,0,0,0,0,0,1,6,1,1,1,12.258197609334882
3,0,0,0,0,0,4,0,0,0,0,0,0,0,64,94,5,6,4,253.31848657528923
3,0,0,0,1,0,0,0,0,0,1,0,0,0,320,11,22,1,12,317.47832794581404
0,0,0,2,0,0,0,0,0,0,0,0,0,0,42,3,1,1,1,1.0931685711846946
5,0,0,1,2,0,1,0,0,0,0,0,0,0,48,9,1,1,1,36.20250889229776
8,0,0,0,0,0,1,1,0,0,0,0,0,0,38,3,1,1,1,32.30595316978449
2,0,0,0,3,0,0,0,0,0,0,0,0,0,35,5,1,1,1,22.31839480645663
3,0,0,0,0,0,0,0,0,0,0,0,0,0,45,7,0,0,1,40.78819727164881
3,0,0,1,1,0,2,0,0,0,0,8,0,0,86,59,30,1,33,79.07768173083726
6,0,0,1,2,0,0,0,0,0,0,0,0,0,38,3,1,1,1,35.09030757768792
6,0,0,2,1,0,0,0,0,0,0,0,0,0,33,8,1,1,1,77.30840437220911
3,0,0,1,0,0,0,0,0,0,0,1,0,0,31,0,2,1,1,72.0284177088234
4,0,0,1,3,0,0,0,0,0,0,0,0,0,24,2,1,1,1,68.28073059329868
5,0,0,0,1,0,0,0,0,0,0,0,1,0,42,4,0,22,2,48.785136462809405
