Column,Min,Max,Mean,Std,Zeros,Missing
Page,0.0,146.0,6.811,12.565835790529704,146,0
Encrypt,0.0,1.0,0.09,0.28625333270591385,1820,0
ObjStm,0.0,66.0,1.313,6.686208469068693,1548,0
JS,0.0,19.0,1.657,2.911630092387673,776,0
JavaScript,0.0,19.0,2.0455,3.0139627960324815,741,0
AA,0.0,10.0,0.3085,1.317268138107742,1755,0
OpenAction,0.0,4.0,0.409,0.6347601596115773,1289,0
AcroForm,0.0,15.0,0.491,1.4265119937224915,1387,0
JBIG2Decode,0.0,1.0,0.0065,0.0803802244973546,1987,0
RichMedia,0.0,1.0,0.082,0.27443333767677386,1836,0
Launch,0.0,1.0,0.0385,0.19244809205099186,1923,0
EmbeddedFile,0.0,9.0,0.794,2.443266005654561,1737,0
XFA,0.0,1.0,0.134,0.3407375104468434,1732,0
Colors_gt_224,0.0,0.0,0.0,0.0,2000,0
obj,0.0,760.0,96.755,144.64250309591202,13,0
stream,0.0,295.0,24.5375,42.9214016209694,70,0
xref,0.0,33.0,2.5865,5.491866535980686,424,0
trailer,0.0,38.0,2.931,6.0973623735150415,305,0
startxref,0.0,39.0,2.5885,4.704278145096569,139,0
filesize_kb,0.24144673056137123,3884.5090974804025,284.4038458998543,539.4819980581914,0,0
