iter	Logloss
0	0.644987234
1	0.6070859345
2	0.5671459302
3	0.5348050836
4	0.5012023772
5	0.4722216515
6	0.4483837045
7	0.4237220662
8	0.4014204774
9	0.3843395236
10	0.3639345428
11	0.3483093304
12	0.3348268266
13	0.3190990854
14	0.306808246
15	0.2952021568
16	0.2846901329
17	0.2746939666
18	0.2659247464
19	0.2578880227
20	0.2520053793
21	0.2445556494
22	0.2375169372
23	0.232246765
24	0.2273025189
25	0.2227809622
26	0.2173518792
27	0.21229927
28	0.207631117
29	0.2041547481
30	0.2003297533
31	0.197627548
32	0.1944864974
33	0.1909895574
34	0.1879370897
35	0.1857573483
36	0.182648164
37	0.180076122
38	0.1780677266
39	0.1759797971
40	0.1741460029
41	0.1722466249
42	0.1707537684
43	0.1695091023
44	0.167821717
45	0.1661129726
46	0.1648783263
47	0.1635335173
48	0.1621174575
49	0.1605852114
50	0.1591190734
51	0.1581223581
52	0.1571218116
53	0.1559448263
54	0.1549131988
55	0.1539822462
56	0.1530919041
57	0.1518429848
58	0.1510579231
59	0.1504013132
60	0.1499586979
61	0.1489736432
62	0.1477559241
63	0.1468763844
64	0.1459728714
65	0.1454322589
66	0.1445685477
67	0.1437972921
68	0.1434341986
69	0.1427714229
70	0.1422848113
71	0.1418036719
72	0.1414145012
73	0.1407098943
74	0.1399979665
75	0.1392330448
76	0.1385819716
77	0.1381232016
78	0.1375642831
79	0.1368156369
80	0.1363413627
81	0.1353295705
82	0.1350678211
83	0.1347998199
84	0.134503986
85	0.1340029476
86	0.1336905208
87	0.1333298762
88	0.1330533623
89	0.1327104843
90	0.1324258835
91	0.131866582
92	0.1317292263
93	0.1314394294
94	0.1310696069
95	0.1308013518
96	0.130221897
97	0.1300319092
98	0.1297658035
99	0.1295374873
100	0.1292734726
101	0.1291704174
102	0.1289651769
103	0.1288302542
104	0.1287149174
105	0.1285485079
106	0.1283593421
107	0.1281433035
108	0.1277434833
109	0.1275967644
110	0.1275543067
111	0.1275049333
112	0.1271614088
113	0.1270590289
114	0.1266350989
115	0.1265393341
116	0.1264692436
117	0.1262085521
118	0.1261505981
119	0.1257447487
120	0.1255664406
121	0.1249983011
122	0.1248381763
123	0.1246554402
124	0.1246393011
125	0.1244181445
126	0.1242490365
127	0.1237316658
128	0.1234621114
129	0.1230748512
130	0.1230268414
131	0.1229719629
132	0.1228750075
133	0.1226879503
134	0.1225306491
135	0.1224315545
136	0.1223927447
137	0.1222486665
138	0.1221947615
139	0.1221783873
140	0.1220911636
141	0.1220794266
142	0.122018029
143	0.1218163514
144	0.1216296892
145	0.1212306331
146	0.121206517
147	0.1211713822
148	0.1209803853
149	0.1209235215
150	0.1208661257
151	0.1207174807
152	0.1206762956
153	0.1206263317
154	0.1205175138
155	0.1204866366
156	0.1203399664
157	0.1202460221
158	0.1200917983
159	0.1197687908
160	0.1197560061
161	0.1195464057
162	0.1195309896
163	0.1194257096
164	0.119411236
165	0.1193914625
166	0.1193764908
167	0.1193102132
168	0.1190135475
169	0.1188770165
170	0.1187800711
171	0.1186620959
172	0.1185726376
173	0.1183182993
174	0.1182941119
175	0.1180874924
176	0.1180757901
177	0.117956348
178	0.1179084525
179	0.1178571455
180	0.1178291119
181	0.1178084932
182	0.1177811139
183	0.1177654657
184	0.1177570493
185	0.1177073384
186	0.1176312782
187	0.1176305162
188	0.1174399615
189	0.1173816695
190	0.1173697641
191	0.1173341712
192	0.1172608081
193	0.1170952729
194	0.1170565998
195	0.1170150416
196	0.116971677
197	0.1168921179
198	0.1168415633
199	0.1167123389
200	0.1166464257
201	0.1165915637
202	0.1165464163
203	0.1165090048
204	0.1165023264
205	0.1164665524
206	0.1161825424
207	0.1161528614
208	0.1161413426
209	0.1158819363
210	0.1158187696
211	0.115803434
212	0.1157552266
213	0.1157411328
214	0.1156914705
215	0.1156567608
216	0.1155367083
217	0.1154366537
218	0.1154093346
219	0.1152945806
220	0.1152385904
221	0.115109122
222	0.1150919929
223	0.1150508393
224	0.1149913914
225	0.114973268
226	0.1149124609
227	0.1148572131
228	0.1148330241
229	0.1148152832
230	0.1147946375
231	0.1146575598
232	0.1144535563
233	0.1144054617
234	0.1143258406
235	0.1142393307
236	0.1141174298
237	0.1140654458
238	0.1139842316
239	0.1139010043
240	0.11388279
241	0.1138705027
242	0.1137698102
243	0.1137193376
244	0.1136630697
245	0.1135770865
246	0.1135493024
247	0.1135279797
248	0.1134482506
249	0.1134307294
250	0.1133534107
251	0.1130929475
252	0.1129811027
253	0.1129491512
254	0.1128833944
255	0.1127720374
256	0.112757186
257	0.1126249654
258	0.1125734379
259	0.1124127539
260	0.1123779922
261	0.1123428972
262	0.1123085666
263	0.1123049395
264	0.1122602549
265	0.1120450525
266	0.1119583107
267	0.11190982
268	0.1118949657
269	0.1116981355
270	0.1116591626
271	0.1116536679
272	0.1116009236
273	0.1115317368
274	0.1114924087
275	0.1113608495
276	0.1113202685
277	0.1111076796
278	0.1110404146
279	0.1109579932
280	0.1108520384
281	0.1107166128
282	0.1105907971
283	0.1105440235
284	0.1105339917
285	0.110500053
286	0.1104809986
287	0.1103796218
288	0.1102896443
289	0.110163284
290	0.1100418405
291	0.1099720774
292	0.109738434
293	0.1097262004
294	0.1095834413
295	0.109467492
296	0.1093841591
297	0.109322955
298	0.1092751422
299	0.109195047
300	0.1090719444
301	0.1088586727
302	0.1087753728
303	0.1086714866
304	0.1085729051
305	0.1085484116
306	0.1085006564
307	0.1083859592
308	0.1083674588
309	0.1083290923
310	0.1081605863
311	0.1080741979
312	0.1079847739
313	0.1079387671
314	0.1078430048
315	0.1077429536
316	0.1076769632
317	0.1076434933
318	0.1075932541
319	0.1075514478
320	0.107537333
321	0.1074246774
322	0.1073969651
323	0.1073688924
324	0.1072759897
325	0.1072629789
326	0.1072489475
327	0.107197329
328	0.1071862733
329	0.1071305652
330	0.1070767002
331	0.1070351156
332	0.106969624
333	0.1069257784
334	0.1069219266
335	0.1069203698
336	0.106881238
337	0.1067807098
338	0.1067530289
339	0.106746083
340	0.1067043371
341	0.1065145256
342	0.1064788846
343	0.1064162714
344	0.1064121875
345	0.1063791374
346	0.106303817
347	0.106281939
348	0.1062610787
349	0.1062225075
350	0.1061823873
351	0.1061456267
352	0.1061316584
353	0.1061128121
354	0.1060795214
355	0.1060405717
356	0.106019927
357	0.1059465507
358	0.1058818915
359	0.1058351473
360	0.1058327052
361	0.1057655855
362	0.1057013429
363	0.10566245
364	0.1055840134
365	0.1055408591
366	0.1054205685
367	0.1053018713
368	0.10507594
369	0.1050361504
370	0.1049942234
371	0.1049016532
372	0.1047887636
373	0.1047083288
374	0.104602281
375	0.1044285453
376	0.1044003213
377	0.1043086544
378	0.1041477752
379	0.1040435356
380	0.1040077932
381	0.1039239172
382	0.1039117846
