iter	Passed	Remaining
0	51	51372
1	53	26858
2	56	18698
3	58	14545
4	61	12163
5	63	10515
6	65	9327
7	68	8449
8	71	7825
9	73	7292
10	76	6861
11	79	6504
12	81	6182
13	83	5905
14	86	5679
15	89	5475
16	91	5301
17	94	5158
18	96	5005
19	99	4898
20	102	4784
21	105	4689
22	108	4591
23	110	4488
24	113	4437
25	116	4351
26	119	4292
27	121	4218
28	124	4159
29	126	4097
30	128	4030
31	131	3981
32	134	3928
33	136	3877
34	139	3848
35	141	3800
36	144	3766
37	147	3723
38	149	3682
39	152	3653
40	154	3615
41	156	3578
42	159	3546
43	161	3510
44	164	3482
45	166	3453
46	168	3423
47	171	3400
48	173	3371
49	176	3357
50	180	3355
51	183	3344
52	185	3320
53	188	3294
54	190	3274
55	192	3250
56	195	3227
57	197	3211
58	199	3189
59	202	3169
60	204	3146
61	206	3125
62	209	3110
63	211	3093
64	213	3073
65	215	3054
66	218	3045
67	221	3032
68	224	3028
69	226	3014
70	229	3001
71	231	2986
72	233	2971
73	236	2963
74	239	2950
75	241	2939
76	244	2930
77	246	2917
78	250	2916
79	252	2905
80	255	2893
81	257	2885
82	260	2874
83	262	2867
84	265	2855
85	268	2851
86	270	2842
87	273	2833
88	277	2838
89	279	2828
90	282	2823
91	285	2813
92	287	2806
93	290	2796
94	292	2787
95	294	2777
96	297	2767
97	300	2762
98	302	2755
99	305	2745
100	307	2739
101	310	2733
102	313	2728
103	315	2719
104	318	2711
105	320	2701
106	322	2693
107	325	2691
108	328	2684
109	330	2676
110	333	2668
111	335	2660
112	338	2654
113	340	2645
114	342	2637
115	345	2635
116	347	2625
117	350	2623
118	353	2615
119	355	2608
120	358	2603
121	360	2596
122	363	2592
123	366	2586
124	368	2580
125	371	2576
126	373	2568
127	376	2568
128	379	2562
129	381	2556
130	384	2550
131	386	2544
132	389	2540
133	392	2535
134	395	2531
135	397	2526
136	399	2518
137	402	2516
138	405	2510
139	407	2503
140	410	2501
141	412	2494
142	415	2492
143	418	2485
144	420	2479
145	422	2473
146	425	2467
147	428	2467
148	431	2461
149	433	2458
150	436	2453
151	438	2446
152	441	2442
153	443	2436
154	445	2430
155	448	2425
156	450	2419
157	452	2413
158	455	2409
159	458	2404
160	460	2400
161	463	2399
162	466	2394
163	468	2388
164	470	2381
165	473	2377
166	475	2371
167	477	2364
168	480	2361
169	482	2356
170	485	2351
171	487	2347
172	489	2341
173	492	2336
174	495	2333
175	497	2328
176	499	2322
177	501	2318
178	504	2313
179	507	2311
180	509	2305
181	512	2301
182	514	2296
183	516	2291
184	519	2288
185	521	2282
186	523	2277
187	525	2269
188	527	2264
189	530	2259
190	532	2254
191	534	2249
192	537	2247
193	539	2242
194	541	2237
195	544	2233
196	546	2227
197	548	2223
198	551	2220
199	553	2214
200	555	2209
201	558	2205
202	560	2199
203	563	2197
204	565	2192
205	567	2186
206	570	2183
207	572	2179
208	574	2174
209	577	2172
210	579	2167
211	582	2164
212	585	2162
213	587	2159
214	590	2157
215	593	2154
216	596	2151
217	598	2147
218	601	2144
219	603	2140
220	606	2136
221	608	2133
222	611	2129
223	613	2126
224	616	2122
225	618	2118
226	621	2116
227	623	2111
228	626	2108
229	628	2105
230	631	2100
231	633	2097
232	636	2093
233	638	2090
234	641	2086
235	644	2086
236	647	2083
237	649	2078
238	651	2074
239	653	2069
240	655	2064
241	657	2059
242	659	2055
243	662	2051
244	664	2047
245	666	2044
246	669	2040
247	672	2038
248	674	2035
249	677	2031
250	679	2028
251	682	2025
252	685	2023
253	687	2020
254	690	2016
255	692	2012
256	694	2008
257	697	2006
258	700	2002
259	702	1999
260	705	1996
261	707	1993
262	710	1990
263	712	1986
264	715	1983
265	717	1981
266	720	1977
267	722	1974
268	725	1970
269	727	1966
270	729	1963
271	732	1959
272	735	1958
273	737	1955
274	740	1952
275	743	1949
276	745	1945
277	748	1943
278	750	1939
279	753	1936
280	755	1933
281	757	1929
282	760	1927
283	763	1923
284	765	1920
285	767	1916
286	769	1912
287	772	1910
288	775	1907
289	777	1904
290	781	1903
291	783	1899
292	786	1897
293	788	1894
294	791	1891
295	794	1888
296	796	1885
297	799	1882
298	801	1879
299	804	1876
300	806	1873
301	809	1870
302	812	1868
303	814	1865
304	817	1863
305	820	1860
306	822	1857
307	825	1855
308	828	1852
309	831	1850
310	833	1846
311	836	1843
312	839	1841
313	841	1838
314	844	1835
315	846	1833
316	849	1829
317	851	1826
318	854	1823
319	857	1821
320	859	1817
321	862	1815
322	864	1812
323	867	1809
324	869	1805
325	871	1802
326	874	1799
327	877	1797
328	879	1794
329	882	1791
330	884	1788
331	887	1785
332	890	1783
333	892	1780
334	895	1776
335	897	1773
336	899	1770
337	902	1767
338	904	1763
339	906	1760
340	909	1757
341	911	1754
342	914	1751
343	917	1748
344	919	1746
345	922	1743
346	924	1739
347	926	1736
348	929	1733
349	931	1730
350	934	1727
351	936	1724
352	939	1721
353	941	1718
354	944	1715
355	946	1712
356	948	1709
357	951	1705
358	953	1703
359	956	1699
360	958	1696
361	961	1694
362	963	1691
363	966	1688
364	968	1684
365	970	1681
366	973	1679
367	976	1676
368	978	1673
369	981	1670
370	983	1668
371	986	1665
372	988	1662
373	991	1659
374	993	1656
375	996	1654
376	999	1651
377	1001	1648
378	1004	1645
379	1006	1642
380	1009	1639
381	1011	1637
382	1014	1634
383	1017	1631
384	1019	1629
385	1022	1626
386	1024	1623
387	1027	1620
388	1029	1617
389	1032	1614
390	1034	1611
391	1037	1609
392	1040	1607
393	1043	1604
394	1045	1601
395	1050	1601
396	1054	1601
397	1059	1602
398	1062	1600
399	1064	1597
400	1067	1594
401	1070	1592
402	1072	1588
403	1074	1585
404	1077	1582
405	1079	1579
406	1082	1576
407	1084	1573
408	1086	1570
409	1089	1567
410	1091	1564
411	1094	1561
412	1096	1558
413	1098	1555
414	1101	1552
415	1105	1552
416	1109	1550
417	1112	1548
418	1114	1545
419	1117	1543
420	1120	1540
421	1122	1537
422	1125	1534
423	1127	1532
424	1130	1529
425	1132	1526
426	1135	1523
427	1138	1520
428	1140	1518
429	1143	1515
430	1145	1512
431	1148	1509
432	1150	1506
433	1153	1504
434	1156	1501
435	1158	1498
436	1161	1496
437	1163	1493
438	1166	1490
439	1168	1487
440	1171	1484
441	1174	1482
442	1176	1478
443	1178	1476
444	1181	1473
445	1183	1470
446	1186	1467
447	1188	1464
448	1191	1461
449	1193	1459
450	1196	1456
451	1198	1453
452	1201	1450
453	1204	1448
454	1207	1446
455	1209	1443
456	1212	1440
457	1214	1437
458	1218	1435
459	1220	1433
460	1223	1430
461	1226	1427
462	1228	1424
463	1230	1421
464	1233	1419
465	1235	1416
466	1238	1413
467	1240	1410
468	1243	1407
469	1245	1404
470	1248	1402
471	1250	1399
472	1253	1396
473	1255	1393
474	1258	1390
475	1260	1388
476	1263	1385
477	1265	1382
478	1269	1380
479	1271	1377
480	1274	1374
481	1276	1371
482	1278	1369
483	1283	1368
484	1285	1365
485	1287	1362
486	1290	1359
487	1292	1356
488	1295	1353
489	1298	1350
490	1300	1348
491	1302	1345
492	1305	1342
493	1307	1339
494	1309	1336
495	1312	1333
496	1314	1330
497	1317	1327
498	1319	1324
499	1322	1322
500	1324	1319
501	1326	1316
502	1328	1313
503	1331	1310
504	1333	1307
505	1336	1304
506	1338	1301
507	1341	1299
508	1343	1296
509	1346	1293
510	1349	1291
511	1352	1289
512	1354	1286
513	1357	1283
514	1359	1280
515	1362	1278
516	1365	1275
517	1367	1272
518	1370	1269
519	1372	1267
520	1375	1264
521	1378	1262
522	1380	1259
523	1383	1256
524	1385	1253
525	1388	1251
526	1390	1248
527	1393	1245
528	1395	1242
529	1398	1239
530	1400	1236
531	1402	1233
532	1404	1230
533	1407	1228
534	1410	1225
535	1412	1222
536	1415	1220
537	1417	1217
538	1419	1214
539	1422	1212
540	1425	1209
541	1427	1206
542	1429	1203
543	1432	1200
544	1435	1198
545	1437	1195
546	1440	1192
547	1442	1190
548	1445	1187
549	1448	1185
550	1451	1182
551	1454	1180
552	1456	1177
553	1459	1174
554	1461	1172
555	1463	1169
556	1466	1166
557	1469	1163
558	1471	1160
559	1474	1158
560	1477	1156
561	1480	1154
562	1483	1151
563	1485	1148
564	1488	1145
565	1490	1143
566	1493	1140
567	1495	1137
568	1498	1135
569	1500	1132
570	1503	1129
571	1505	1126
572	1508	1124
573	1511	1121
574	1513	1118
575	1516	1116
576	1519	1113
577	1521	1110
578	1524	1108
579	1526	1105
580	1529	1102
581	1531	1100
582	1534	1097
583	1537	1095
584	1539	1092
585	1542	1089
586	1544	1086
587	1547	1084
588	1550	1081
589	1552	1078
590	1555	1076
591	1558	1073
592	1560	1071
593	1563	1068
594	1565	1065
595	1568	1063
596	1571	1060
597	1574	1058
598	1576	1055
599	1578	1052
600	1581	1049
601	1583	1047
602	1586	1044
603	1589	1042
604	1592	1039
605	1595	1037
606	1597	1034
607	1600	1031
608	1602	1029
609	1605	1026
610	1607	1023
611	1610	1020
612	1612	1017
613	1615	1015
614	1617	1012
615	1620	1010
616	1623	1007
617	1626	1005
618	1628	1002
619	1631	999
620	1633	997
621	1636	994
622	1639	992
623	1641	989
624	1644	986
625	1647	984
626	1649	981
627	1652	979
628	1655	976
629	1657	973
630	1660	970
631	1663	968
632	1666	966
633	1669	963
634	1671	960
635	1674	958
636	1676	955
637	1679	952
638	1681	950
639	1684	947
640	1686	944
641	1689	942
642	1691	939
643	1694	936
644	1697	934
645	1699	931
646	1701	928
647	1704	925
648	1706	923
649	1709	920
650	1712	917
651	1714	915
652	1717	912
653	1720	910
654	1723	907
655	1726	905
656	1728	902
657	1730	899
658	1733	897
659	1736	894
660	1738	891
661	1741	889
662	1744	886
663	1747	884
664	1750	881
665	1752	879
666	1755	876
667	1758	874
668	1761	871
669	1763	868
670	1767	866
671	1769	863
672	1772	861
673	1774	858
674	1777	855
675	1780	853
676	1782	850
677	1785	847
678	1788	845
679	1790	842
680	1793	840
681	1796	837
682	1798	834
683	1801	832
684	1803	829
685	1806	826
686	1809	824
687	1812	821
688	1814	819
689	1817	816
690	1820	813
691	1822	811
692	1825	808
693	1828	806
694	1831	803
695	1833	801
696	1837	798
697	1839	795
698	1842	793
699	1845	790
700	1848	788
701	1851	785
702	1853	783
703	1856	780
704	1858	777
705	1861	775
706	1864	772
707	1866	769
708	1870	767
709	1872	764
710	1875	762
711	1878	759
712	1880	757
713	1883	754
714	1886	751
715	1889	749
716	1891	746
717	1894	744
718	1897	741
719	1899	738
720	1902	736
721	1905	733
722	1907	730
723	1910	728
724	1913	725
725	1915	722
726	1918	720
727	1920	717
728	1922	714
729	1925	712
730	1928	709
731	1930	706
732	1933	704
733	1935	701
734	1938	698
735	1940	696
736	1943	693
737	1946	690
738	1948	688
739	1951	685
740	1953	682
741	1956	680
742	1959	677
743	1961	674
744	1964	672
745	1966	669
746	1969	666
747	1972	664
748	1974	661
749	1976	658
750	1979	656
751	1982	653
752	1985	651
753	1988	648
754	1990	646
755	1993	643
756	1995	640
757	1998	637
758	2000	635
759	2003	632
760	2005	629
761	2008	627
762	2010	624
763	2013	621
764	2016	619
765	2018	616
766	2021	614
767	2023	611
768	2026	608
769	2029	606
770	2031	603
771	2034	600
772	2036	598
773	2039	595
774	2042	592
775	2044	590
776	2047	587
777	2049	584
778	2051	582
779	2054	579
780	2056	576
781	2059	574
782	2062	571
783	2064	568
784	2067	566
785	2069	563
786	2071	560
787	2074	558
788	2077	555
789	2080	552
790	2082	550
791	2085	547
792	2087	544
793	2090	542
794	2092	539
795	2095	536
796	2098	534
797	2100	531
798	2102	528
799	2105	526
800	2107	523
801	2110	521
802	2112	518
803	2115	515
804	2117	512
805	2120	510
806	2122	507
807	2125	505
808	2127	502
809	2130	499
810	2132	496
811	2135	494
812	2136	491
813	2139	488
814	2142	486
815	2144	483
816	2146	480
817	2149	478
818	2152	475
819	2154	472
820	2157	470
821	2160	467
822	2162	465
823	2165	462
824	2167	459
825	2170	457
826	2173	454
827	2175	451
828	2178	449
829	2180	446
830	2183	444
831	2186	441
832	2188	438
833	2191	436
834	2193	433
835	2196	430
836	2198	428
837	2201	425
838	2203	422
839	2206	420
840	2208	417
841	2211	414
842	2214	412
843	2217	409
844	2219	407
845	2222	404
846	2224	401
847	2227	399
848	2229	396
849	2232	393
850	2234	391
851	2237	388
852	2240	386
853	2242	383
854	2245	380
855	2247	378
856	2250	375
857	2252	372
858	2255	370
859	2257	367
860	2260	364
861	2262	362
862	2265	359
863	2268	357
864	2270	354
865	2272	351
866	2275	349
867	2278	346
868	2280	343
869	2282	341
870	2285	338
871	2288	335
872	2291	333
873	2293	330
874	2295	327
875	2298	325
876	2301	322
877	2303	320
878	2306	317
879	2309	314
880	2311	312
881	2313	309
882	2316	306
883	2319	304
884	2321	301
885	2324	299
886	2326	296
